n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
2048,4,10,3.888533,0.060544,22.764275,0.096508,1.462273,8388608,851968,138.679375,8.842144,0.000000849,0.000000833
2048,4,12,4.057405,0.061440,23.177988,0.098044,1.591424,8388608,917504,136.660000,9.392822,0.000000828,0.000000817
2048,4,14,4.054934,0.061440,23.686425,0.102660,1.731067,8388608,983040,136.775000,9.636251,0.000000821,0.000000808
2048,4,16,4.063751,0.060544,24.149362,0.098432,1.810051,8388608,1048576,138.943750,10.712195,0.000000841,0.000000833
2048,4,18,3.898184,0.061692,23.326200,0.097524,1.870209,8388608,1114112,136.097000,11.439975,0.000000867,0.000000861
2048,6,6,4.094101,0.061824,23.582200,0.141820,3.194754,8388608,425984,135.966500,3.052964,0.000000850,0.000000840
2048,6,8,4.057808,0.061824,23.881850,0.134020,3.161857,8388608,524288,135.847250,3.916651,0.000000797,0.000000782
2048,6,10,4.058429,0.060668,23.259638,0.135428,3.388544,8388608,622592,138.441375,4.601405,0.000000828,0.000000818
2048,6,12,3.897440,0.060672,22.947962,0.133500,3.476486,8388608,720896,138.407625,5.402138,0.000000854,0.000000838
2048,6,14,3.906244,0.061572,23.464962,0.133888,3.548416,8388608,819200,136.291875,6.122712,0.000000834,0.000000824
2048,6,16,4.053422,0.061184,23.442050,0.134392,3.694589,8388608,917504,137.216625,6.840750,0.000000846,0.000000837
2048,6,18,4.215054,0.062592,25.470050,0.144008,4.194561,8388608,1015808,134.240875,7.115130,0.000000825,0.000000816
2048,8,6,4.216124,0.061696,23.372937,0.184588,11.634025,8388608,425984,136.374125,2.320611,0.000000848,0.000000834
2048,8,8,4.532786,0.061308,23.380987,0.178948,10.665100,8388608,557056,136.908375,3.123380,0.000000791,0.000000780
2048,8,10,3.895776,0.064004,23.726588,0.182020,11.739150,8388608,688128,131.902375,3.795701,0.000000835,0.000000822
2048,8,12,4.059424,0.062716,24.825087,0.184324,11.486838,8388608,819200,133.981875,4.455669,0.000000824,0.000000809
2048,8,14,3.900306,0.061568,23.496838,0.177532,11.776238,8388608,950272,136.300750,5.359341,0.000000856,0.000000848
2048,8,16,3.897082,0.060672,22.871813,0.174072,6.109570,8388608,983040,138.318500,5.749664,0.000000833,0.000000825
2048,8,18,3.895612,0.061184,22.636300,0.169352,6.717055,8388608,1097728,137.170000,6.489926,0.000000838,0.000000828
2048,10,6,4.047334,0.061692,23.397775,0.194552,22.560125,8388608,458752,136.009875,2.358685,0.000000852,0.000000838
2048,10,8,4.371904,0.062848,24.809113,0.184824,11.018375,8388608,557056,133.913125,3.044295,0.000000816,0.000000800
2048,10,10,3.891484,0.061444,23.279863,0.178936,11.711863,8388608,688128,136.582250,3.853756,0.000000798,0.000000792
2048,10,12,4.228096,0.062592,23.691900,0.178816,11.638900,8388608,819200,134.051250,4.585264,0.000000853,0.000000845
2048,10,14,4.223700,0.062848,24.550650,0.183028,12.096637,8388608,950272,133.714125,5.246235,0.000000827,0.000000819
2048,10,16,4.065974,0.061696,24.191637,0.158972,6.036094,8388608,983040,136.256500,6.210284,0.000000854,0.000000840
2048,10,18,3.896622,0.060928,22.989925,0.166400,6.526336,8388608,1097728,137.729000,6.634694,0.000000816,0.000000811
2048,12,6,4.222880,0.062720,24.342000,0.200324,22.648563,8388608,458752,133.957125,2.297248,0.000000871,0.000000862
2048,12,8,4.053488,0.061696,23.685750,0.171780,10.710525,8388608,557056,136.218500,3.243801,0.000000877,0.000000863
2048,12,10,4.065957,0.059904,23.321337,0.178168,11.388288,8388608,688128,140.185625,3.872514,0.000000813,0.000000803
