n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
512,4,12,0.243795,11.904250,28.971900,3.659775,4.783067,524288,131072,0.044139,0.035869,0.000000407,0.000000417
512,4,14,0.259056,12.490375,30.036738,3.856892,5.135905,524288,147456,0.042463,0.038729,0.000000419,0.000000432
512,4,16,0.267664,12.577262,30.565487,3.790328,4.977891,524288,163840,0.042216,0.043585,0.000000407,0.000000420
512,4,18,0.248473,12.189450,29.926275,3.760893,5.049573,524288,180224,0.043416,0.048300,0.000000424,0.000000433
512,6,6,0.258026,12.213762,30.399738,3.915783,7.305288,524288,81920,0.043228,0.021130,0.000000405,0.000000414
512,6,8,0.249458,12.258175,29.917562,3.879549,7.056446,524288,106496,0.043127,0.027690,0.000000445,0.000000446
512,6,10,0.268401,11.989237,29.486587,3.748224,7.022344,524288,131072,0.043743,0.034999,0.000000408,0.000000415
512,6,12,0.261962,12.252038,30.549888,3.886334,7.233553,524288,155648,0.043070,0.040397,0.000000404,0.000000412
512,6,14,0.242181,12.173575,29.260037,3.843585,7.278364,524288,180224,0.043490,0.047220,0.000000384,0.000000399
512,6,16,0.274003,12.593550,30.941175,4.340875,6.294264,524288,180224,0.042106,0.043061,0.000000420,0.000000430
512,6,18,0.264497,12.232838,29.681400,3.787904,5.863740,524288,200704,0.043188,0.053412,0.000000394,0.000000410
512,8,6,0.258987,12.555262,30.632963,4.084851,10.187984,524288,90112,0.042319,0.022269,0.000000412,0.000000422
512,8,8,0.249378,12.243837,29.967212,3.761409,6.868425,524288,106496,0.043144,0.028348,0.000000390,0.000000393
512,8,10,0.265045,12.657675,30.698350,4.070019,7.514396,524288,131072,0.041937,0.032591,0.000000425,0.000000439
512,8,12,0.252100,12.139125,29.393787,3.863545,7.144233,524288,155648,0.043514,0.040680,0.000000432,0.000000437
512,8,14,0.270114,13.163763,31.542525,4.099715,7.679012,524288,180224,0.040526,0.044667,0.000000435,0.000000445
512,8,16,0.252302,12.505612,30.038525,3.896706,5.800124,524288,180224,0.042379,0.046753,0.000000424,0.000000437
512,8,18,0.273782,12.104337,29.568887,3.838336,5.885554,524288,200704,0.043602,0.052775,0.000000430,0.000000452
512,10,6,0.280132,13.079550,32.801025,4.255349,10.671604,524288,90112,0.040714,0.021474,0.000000405,0.000000413
512,10,8,0.249435,12.714863,30.425075,4.102907,7.306534,524288,106496,0.041822,0.026727,0.000000418,0.000000427
512,10,10,0.251732,12.177788,29.870213,3.672960,6.948031,524288,131072,0.043358,0.035698,0.000000429,0.000000443
512,10,12,0.242454,11.837312,28.711437,3.994631,7.203586,524288,155648,0.044323,0.040250,0.000000414,0.000000422
512,10,14,0.264576,12.306938,30.278125,3.905795,7.320596,524288,180224,0.042900,0.046415,0.000000440,0.000000460
512,10,16,0.263622,13.088125,31.732737,4.074624,6.046639,524288,180224,0.040681,0.044891,0.000000413,0.000000425
512,10,18,0.246368,12.091025,29.359738,3.731072,5.801669,524288,200704,0.043663,0.053817,0.000000433,0.000000444
512,12,6,0.250449,12.062988,29.099000,3.982979,9.984616,524288,90112,0.043812,0.022854,0.000000428,0.000000444
512,12,8,0.259012,12.195700,30.100100,3.948164,7.151984,524288,106496,0.043264,0.027133,0.000000404,0.000000410
512,12,10,0.230224,11.675638,28.268413,3.660293,6.887918,524288,131072,0.044915,0.035823,0.000000436,0.000000440
512,12,12,0.242766,11.741200,28.432488,3.672696,6.926100,524288,155648,0.044666,0.042393,0.000000413,0.000000417
512,12,14,0.250935,12.034812,29.158525,3.723517,6.994304,524288,180224,0.043834,0.048437,0.000000401,0.000000415
512,12,16,0.253374,12.153850,29.633025,3.811971,5.684850,524288,180224,0.043421,0.047614,0.000000420,0.000000436
512,12,18,0.265374,12.248188,30.370200,3.853056,5.929740,524288,200704,0.043143,0.052443,0.000000428,0.000000442
1024,2,6,1.039984,4.016256,22.392312,0.170496,1.183453,2097152,573440,0.527685,3.413012,0.000000558,0.000000549
